# family: gcc
# compiler: g++ (Alpine 15.2.0) 15.2.0
# os: Alpine Linux
library,filter_type,order,method,max_b_err,max_a_err,max_step_err
constfilt,butterworth,1,zoh,0.000000e+00,0.000000e+00,0.000000e+00
constfilt,butterworth,2,zoh,4.163336e-17,2.220446e-16,1.221245e-15
constfilt,butterworth,3,zoh,9.714451e-17,1.776357e-15,8.548717e-15
constfilt,butterworth,4,zoh,1.110223e-15,5.329071e-15,1.487699e-14
constfilt,butterworth,5,zoh,7.826855e-16,2.220446e-15,1.565414e-14
constfilt,butterworth,6,zoh,1.077333e-13,8.260059e-14,1.327827e-13
constfilt,butterworth,7,zoh,4.350617e-13,2.184919e-13,4.956036e-13
constfilt,butterworth,8,zoh,1.781413e-12,7.887024e-13,1.174533e-12
constfilt,butterworth,9,zoh,2.683072e-11,2.824407e-12,1.341810e-11
constfilt,butterworth,10,zoh,2.428169e-10,4.609291e-11,8.981571e-11
constfilt,butterworth,11,zoh,1.938709e-10,6.137313e-10,8.004775e-11
constfilt,butterworth,12,zoh,5.023309e-09,3.361052e-09,9.453389e-10
constfilt,butterworth,13,zoh,2.976862e-09,2.308948e-08,1.157787e-09
constfilt,butterworth,14,zoh,3.408117e-07,7.923859e-09,3.339978e-08
constfilt,butterworth,15,zoh,4.132973e-07,2.488069e-07,1.716552e-08
constfilt,butterworth,16,zoh,1.252245e-05,8.183562e-06,4.943892e-07
constfilt,butterworth,17,zoh,7.005824e-05,1.020921e-05,2.415558e-06
constfilt,butterworth,18,zoh,9.545704e-04,2.226743e-04,7.237776e-03
constfilt,butterworth,19,zoh,1.299205e-02,4.409714e-03,5.786970e-03
constfilt,butterworth,20,zoh,5.091989e-02,1.399249e-02,4.727988e-03
constfilt,butterworth,21,zoh,4.103438e-01,2.058273e-02,5.930645e-03
constfilt,butterworth,22,zoh,1.543725e+00,4.981867e-01,6.074077e-03
constfilt,butterworth,23,zoh,0.000000e+00,0.000000e+00,1.257581e+00
constfilt,butterworth,24,zoh,0.000000e+00,0.000000e+00,9.193307e-01
constfilt,butterworth,25,zoh,0.000000e+00,0.000000e+00,8.278702e-01
constfilt,butterworth,1,matchedz,5.551115e-17,0.000000e+00,2.220446e-16
constfilt,butterworth,2,matchedz,0.000000e+00,2.220446e-16,1.332268e-15
constfilt,butterworth,3,matchedz,1.387779e-17,4.440892e-16,1.998401e-15
constfilt,butterworth,4,matchedz,3.816392e-17,1.776357e-15,4.440892e-15
constfilt,butterworth,5,matchedz,1.040834e-17,3.552714e-15,1.487699e-14
constfilt,butterworth,6,matchedz,3.469447e-18,1.776357e-15,5.384582e-14
constfilt,butterworth,7,matchedz,2.602085e-18,7.105427e-15,3.296252e-13
constfilt,butterworth,8,matchedz,2.168404e-19,5.329071e-15,9.885426e-13
constfilt,butterworth,9,matchedz,7.589415e-19,4.440892e-15,1.743494e-12
constfilt,butterworth,10,matchedz,1.626303e-19,7.105427e-15,7.760681e-12
constfilt,butterworth,11,matchedz,5.421011e-20,1.421085e-14,4.277068e-11
constfilt,butterworth,12,matchedz,1.490778e-19,1.847411e-13,9.285439e-11
constfilt,butterworth,13,matchedz,9.486769e-20,1.705303e-13,2.103471e-10
constfilt,butterworth,14,matchedz,3.726945e-20,1.136868e-13,4.153908e-10
constfilt,butterworth,15,matchedz,8.470329e-22,1.307399e-12,2.027836e-09
constfilt,butterworth,16,matchedz,1.524659e-20,2.614797e-12,7.285693e-09
constfilt,butterworth,17,matchedz,3.388132e-21,6.139089e-12,9.734120e-09
constfilt,butterworth,18,matchedz,6.988022e-21,6.821210e-12,4.460290e-08
constfilt,butterworth,19,matchedz,2.223461e-21,4.547474e-12,4.035656e-07
constfilt,butterworth,20,matchedz,3.705769e-22,7.275958e-12,3.554212e-07
constfilt,butterworth,21,matchedz,1.323489e-22,2.000888e-11,1.907089e-06
constfilt,butterworth,22,matchedz,2.646978e-22,9.822543e-11,6.338714e-06
constfilt,butterworth,23,matchedz,1.852885e-22,4.365575e-11,1.530845e-05
