# family: gcc
# compiler: g++ (Alpine 15.2.0) 15.2.0
# os: Alpine Linux
filter_type,order,method,compile_time_sec,max_rss_kb,exit_code
butterworth,10,matchedz,0.37,72728,0
butterworth,10,tustin,0.45,82628,0
butterworth,10,zoh,1.06,158356,0
butterworth,11,matchedz,0.48,87884,0
butterworth,11,tustin,0.60,102148,0
butterworth,11,zoh,1.41,203552,0
butterworth,12,matchedz,0.63,105408,0
butterworth,12,tustin,0.81,126240,0
butterworth,12,zoh,1.91,264236,0
butterworth,1,matchedz,0.06,36560,0
butterworth,1,tustin,0.06,36416,0
butterworth,1,zoh,0.06,36876,0
butterworth,2,matchedz,0.07,37012,0
butterworth,2,tustin,0.06,36944,0
butterworth,2,zoh,0.07,37912,0
butterworth,4,matchedz,0.08,39248,0
butterworth,4,tustin,0.08,39680,0
butterworth,4,zoh,0.13,44800,0
butterworth,6,matchedz,0.13,44168,0
butterworth,6,tustin,0.13,45388,0
butterworth,6,zoh,0.26,60736,0
butterworth,8,matchedz,0.21,54284,0
butterworth,8,tustin,0.23,57996,0
butterworth,8,zoh,0.54,94752,0
butterworth,9,matchedz,0.28,62656,0
butterworth,9,tustin,0.34,69056,0
butterworth,9,zoh,0.77,122840,0
elliptic,10,matchedz,0.75,112636,0
elliptic,10,tustin,0.53,89724,0
elliptic,10,zoh,1.13,163564,0
elliptic,11,matchedz,0.96,140204,0
elliptic,11,tustin,0.69,108992,0
elliptic,11,zoh,1.51,209848,0
elliptic,12,matchedz,1.29,181536,0
elliptic,12,tustin,0.93,134152,0
elliptic,12,zoh,2.04,271824,0
elliptic,2,matchedz,0.11,40388,0
elliptic,2,tustin,0.11,40596,0
elliptic,2,zoh,0.12,41908,0
elliptic,4,matchedz,0.15,45252,0
elliptic,4,tustin,0.14,43740,0
elliptic,4,zoh,0.18,48916,0
elliptic,6,matchedz,0.23,53696,0
elliptic,6,tustin,0.19,49788,0
elliptic,6,zoh,0.31,64432,0
elliptic,8,matchedz,0.40,74184,0
elliptic,8,tustin,0.31,63744,0
elliptic,8,zoh,0.61,99832,0
elliptic,9,matchedz,0.52,89484,0
elliptic,9,tustin,0.41,74764,0
elliptic,9,zoh,0.85,128388,0
