# family: gcc
# compiler: g++ (Alpine 15.2.0) 15.2.0
# os: Alpine Linux
library,filter_type,order,method,ns_per_sample,msa_per_s,dc_gain
constfilt,Butterworth,1,tustin,6.415,155.9,1.00000000
constfilt,Butterworth,2,tustin,10.876,91.9,1.00000000
constfilt,Butterworth,4,tustin,18.954,52.8,1.00000000
constfilt,Butterworth,6,tustin,26.164,38.2,1.00000000
constfilt,Butterworth,8,tustin,34.550,28.9,1.00000000
constfilt,Butterworth,1,zoh,6.420,155.8,1.00000000
constfilt,Butterworth,2,zoh,10.826,92.4,1.00000000
constfilt,Butterworth,4,zoh,18.535,54.0,1.00000000
constfilt,Butterworth,6,zoh,26.066,38.4,1.00000000
constfilt,Butterworth,8,zoh,34.415,29.1,1.00000000
constfilt,Butterworth,1,matchedz,6.423,155.7,1.00000000
constfilt,Butterworth,2,matchedz,10.839,92.3,1.00000000
constfilt,Butterworth,4,matchedz,18.858,53.0,1.00000000
constfilt,Butterworth,6,matchedz,26.130,38.3,1.00000000
constfilt,Butterworth,8,matchedz,34.357,29.1,1.00000000
constfilt,Elliptic,2,tustin,10.844,92.2,0.94406088
constfilt,Elliptic,4,tustin,18.373,54.4,0.94406088
constfilt,Elliptic,6,tustin,26.217,38.1,0.94406088
constfilt,Elliptic,8,tustin,34.485,29.0,0.94406088
constfilt,Elliptic,2,zoh,10.828,92.4,0.94406088
constfilt,Elliptic,4,zoh,18.359,54.5,0.94406088
constfilt,Elliptic,6,zoh,26.095,38.3,0.94406088
constfilt,Elliptic,8,zoh,34.249,29.2,0.94406088
constfilt,Elliptic,2,matchedz,11.091,90.2,0.94406088
constfilt,Elliptic,4,matchedz,18.904,52.9,0.94406088
constfilt,Elliptic,6,matchedz,26.024,38.4,0.94406088
constfilt,Elliptic,8,matchedz,34.507,29.0,0.94406088
iir1,Butterworth,2,runtime,10.732,93.2,1.00000000
iir1,Butterworth,4,runtime,18.155,55.1,1.00000000
iir1,Butterworth,6,runtime,30.092,33.2,1.00000000
iir1,Butterworth,8,runtime,40.322,24.8,1.00000000
kfr,Butterworth,2,runtime+simd,607.261,1.6,1.00000000
kfr,Butterworth,4,runtime+simd,402.769,2.5,1.00000000
kfr,Butterworth,6,runtime+simd,307.412,3.3,1.00000000
kfr,Butterworth,8,runtime+simd,307.261,3.3,1.00000000
kfr,Elliptic,2,runtime+simd,605.280,1.7,0.94406088
kfr,Elliptic,4,runtime+simd,401.691,2.5,0.94406088
kfr,Elliptic,6,runtime+simd,306.657,3.3,0.94406088
kfr,Elliptic,8,runtime+simd,308.208,3.2,0.94406088
