# family: gcc
# compiler: g++ (Alpine 15.2.0) 15.2.0
# os: Alpine Linux
filter_type,order,method,compile_time_sec,max_rss_kb,exit_code
butterworth,10,matchedz,0.70,113828,1
butterworth,10,tustin,0.80,124912,1
butterworth,10,zoh,0.72,114500,1
butterworth,11,matchedz,0.98,147184,1
butterworth,11,tustin,1.09,162156,1
butterworth,11,zoh,0.98,147816,1
butterworth,12,matchedz,1.36,192484,1
butterworth,12,tustin,1.49,210652,1
butterworth,12,zoh,1.37,193160,1
butterworth,1,matchedz,0.07,36592,0
butterworth,1,tustin,0.06,36364,0
butterworth,1,zoh,0.07,36872,0
butterworth,2,matchedz,0.07,37028,0
butterworth,2,tustin,0.07,37020,0
butterworth,2,zoh,0.08,38080,0
butterworth,4,matchedz,0.10,39788,1
butterworth,4,tustin,0.11,41168,1
butterworth,4,zoh,0.10,40456,1
butterworth,6,matchedz,0.17,48504,1
butterworth,6,tustin,0.20,51728,1
butterworth,6,zoh,0.18,49168,1
butterworth,8,matchedz,0.35,69756,1
butterworth,8,tustin,0.41,76528,1
butterworth,8,zoh,0.35,70400,1
butterworth,9,matchedz,0.49,88092,1
butterworth,9,tustin,0.56,96496,1
butterworth,9,zoh,0.49,88556,1
elliptic,10,matchedz,0.96,134500,1
elliptic,10,tustin,1.06,145408,1
elliptic,10,zoh,1.01,135124,1
elliptic,11,matchedz,1.23,166876,1
elliptic,11,tustin,1.34,181208,1
elliptic,11,zoh,1.23,167792,1
elliptic,12,matchedz,1.64,212968,1
elliptic,12,tustin,1.80,232560,1
elliptic,12,zoh,1.71,213852,1
elliptic,2,matchedz,0.11,40544,0
elliptic,2,tustin,0.10,40468,0
elliptic,2,zoh,0.12,41924,0
elliptic,4,matchedz,0.26,53628,1
elliptic,4,tustin,0.27,54988,1
elliptic,4,zoh,0.27,54408,1
elliptic,6,matchedz,0.36,63984,1
elliptic,6,tustin,0.40,67456,1
elliptic,6,zoh,0.38,64676,1
elliptic,8,matchedz,0.57,87344,1
elliptic,8,tustin,0.62,94252,1
elliptic,8,zoh,0.58,88192,1
elliptic,9,matchedz,0.73,106332,1
elliptic,9,tustin,0.80,115440,1
elliptic,9,zoh,0.74,107148,1
